id;id_down;STcon
3838;3507;0.675185185
3839;3838;0.681468531
3840;3839;0.681468531
3868;3840;0.708292995
3841;3840;0.697032065
3842;3841;0.705426357
3843;3842;0.730389541
3844;3843;0.696313791
3855;3844;0.681998372
3856;3855;0.696967651
3857;3855;0.698630137
3845;3844;0.715555556
3846;3845;0.715555556
3854;3846;0.695305164
3847;3846;0.733607326
3853;3847;0.737102893
3848;3847;0.757333333
3849;3848;0.757333333
3850;3849;0.757333333
3851;3850;0.772517816
3852;3850;0.787294781
3858;3843;0.677192982
3865;3858;0.693442623
3859;3858;0.689673057
3860;3859;0.706386345
3863;3860;0.730458693
3861;3860;0.716727549
3862;3861;0.716727549
3864;3859;0.711569669
3866;3842;0.707972623
3867;3841;0.712191648
3869;3838;0.678205128
3880;3869;0.706255836
3870;3869;0.685507246
3871;3870;0.685507246
3872;3871;0.675528365
3878;3872;0.691919192
3873;3872;0.676344086
3874;3873;0.571178637
3875;3874;0.571178637
3876;3873;0.421904762
3877;3876;0.421904762
3879;3871;0.705761317
3508;3507;0.807407407
3509;3508;0.807407407
3836;3509;0.713157895
3837;3836;0.713157895
3510;3509;0.727218295
3835;3510;0.495098039
3511;3510;0.665873016
3512;3511;0.665873016
3513;3512;0.710068027
3822;3513;0.715734767
3514;3513;0.64954955
3515;3514;0.807951358
3819;3515;0.726060606
3820;3819;0.726060606
3516;3515;0.753111723
3818;3516;0.73086656
3517;3516;0.791097259
3518;3517;0.773380454
3519;3518;0.780872518
3521;3520;0.761025641
3805;3521;0.773801623
3522;3521;0.768188212
3523;3522;0.822608696
3524;3523;0.822608696
3771;3524;0.830438497
3772;3771;0.830438497
3773;3772;0.830438497
3525;3524;0.820285479
3763;3525;0.80804984
3770;3763;0.844274809
3764;3763;0.851094891
3767;3764;0.715059966
3769;3767;0.81493556
3768;3767;0.857342657
3765;3764;0.681439555
3766;3765;0.667096315
3526;3525;0.839370079
3527;3526;0.783476568
3737;3527;0.85323741
3738;3737;0.859310345
3739;3738;0.864296191
3751;3739;0.866666667
3740;3739;0.866666667
3749;3740;0.872495019
3750;3749;0.874846626
3741;3740;0.870860207
3742;3741;0.875605131
3743;3742;0.887292818
3744;3743;0.889716841
3745;3744;0.889716841
3746;3743;0.88972973
3747;3742;0.88603352
3748;3741;0.874846626
3752;3738;0.86122449
3761;3752;0.869963567
3753;3752;0.839639724
3754;3753;0.839639724
3760;3754;0.877103974
3755;3754;0.87777419
3756;3755;0.799047619
3757;3756;0.581621622
3758;3756;0.581572719
3759;3755;0.769462007
3528;3527;0.854218774
3736;3528;0.859310345
3529;3528;0.802592448
3530;3529;0.705118602
3531;3530;0.810891069
3733;3531;0.824229075
3532;3531;0.72979243
3730;3532;0.812974052
3731;3730;0.812974052
3533;3532;0.807653675
3727;3533;0.817248931
3729;3727;0.733694344
3728;3727;0.812283901
3534;3533;0.817254902
3535;3534;0.815863805
3536;3535;0.817297297
3537;3536;0.810707071
3708;3537;0.820028922
3538;3537;0.830150754
3539;3538;0.830150754
3704;3539;0.721414406
3707;3704;0.708291199
3705;3704;0.769483568
3706;3705;0.769483568
3540;3539;0.835902994
3541;3540;0.738070175
3697;3541;0.76959707
3698;3697;0.780722892
3700;3698;0.82187145
3699;3698;0.827753934
3701;3697;0.818632616
3542;3541;0.819457014
3543;3542;0.821076233
3658;3543;0.709664326
3662;3543;0.709664326
3659;3658;0.485843794
3660;3659;0.486145405
3661;3659;0.481051176
3544;3543;0.705371832
3545;3544;0.573813029
3546;3545;0.626621916
3547;3546;0.435499808
3548;3547;0.438638847
3549;3548;0.444404332
3550;3549;0.448486092
3551;3550;0.450643275
3622;3551;0.456574394
3552;3551;0.454595851
3553;3552;0.457044807
3612;3553;0.46842757
3616;3612;0.476483279
3613;3612;0.478166613
3615;3613;0.479073482
3614;3613;0.479849946
3554;3553;0.461857923
3555;3554;0.470042872
3602;3555;0.470553803
3610;3602;0.478143233
3603;3602;0.484048583
3609;3603;0.490858737
3604;3603;0.494964753
3608;3604;0.497787611
3605;3604;0.500236875
3607;3605;0.506882989
3606;3605;0.503956479
3556;3555;0.474125605
3557;3556;0.485694689
3558;3557;0.493515704
3559;3558;0.4995996
3560;3559;0.483965015
3561;3560;0.497158171
3586;3561;0.470234742
3594;3586;0.483195592
3587;3586;0.477437326
3588;3587;0.451239669
3592;3588;0.456229331
3589;3588;0.460162602
3590;3589;0.460162602
3593;3587;0.447691597
3562;3561;0.502802874
3583;3562;0.500232126
3584;3583;0.506152433
3585;3583;0.503416436
3563;3562;0.506499536
3564;3563;0.489497717
3565;3564;0.496482808
3566;3565;0.500536193
3567;3566;0.503722944
3568;3567;0.512133293
3569;3568;0.512580287
3570;3569;0.516422168
3571;3569;0.516213587
3572;3567;0.510500982
3573;3566;0.494668326
3574;3565;0.497890998
3580;3574;0.471012658
3575;3574;0.483922225
3579;3575;0.478345802
3576;3575;0.489109003
3578;3576;0.479467997
3577;3576;0.486159601
3581;3564;0.497843666
3582;3563;0.488902427
3595;3560;0.493323302
3596;3559;0.480107527
3597;3558;0.496576032
3598;3557;0.490417941
3599;3598;0.474471299
3600;3598;0.493515704
3601;3556;0.47980818
3611;3554;0.466558089
3617;3552;0.460044893
3621;3617;0.47420765
3618;3617;0.470127743
3620;3618;0.477633008
3619;3618;0.46558089
3623;3550;0.451485339
3624;3623;0.457607433
3625;3623;0.454152249
3626;3549;0.445551601
3627;3626;0.445551601
3628;3548;0.44762408
3629;3547;0.444382868
3630;3629;0.44981685
3631;3630;0.456447216
3632;3629;0.44981685
3633;3546;0.438238994
3634;3633;0.438238994
3638;3635;0.608091438
3635;3545;0.663228745
3636;3635;0.663228745
3637;3636;0.450250139
3639;3544;0.717467408
3640;3639;0.720416337
3652;3640;0.694126285
3641;3640;0.709511741
3642;3641;0.729909692
3650;3642;0.772536551
3643;3642;0.761458688
3649;3643;0.737485172
3644;3643;0.7393404
3648;3644;0.741169591
3645;3644;0.780971724
3647;3645;0.726643599
3646;3645;0.74962483
3651;3641;0.788339719
3653;3639;0.717264276
3654;3653;0.721699346
3655;3654;0.709125475
3656;3654;0.699613889
3657;3653;0.735335864
3663;3542;0.842421861
3664;3663;0.826666667
3665;3664;0.830018911
3693;3665;0.813659656
3694;3693;0.490368509
3695;3693;0.823774765
3666;3665;0.825201263
3667;3666;0.654125968
3691;3667;0.686013072
3668;3667;0.647470817
3690;3668;0.706593067
3669;3668;0.467792069
3689;3669;0.654822955
3670;3669;0.629448788
3671;3670;0.639704299
3672;3671;0.839370079
3673;3672;0.593244035
3674;3673;0.664745763
3675;3674;0.568282723
3679;3675;0.472568558
3676;3675;0.465135448
3677;3676;0.526331752
3678;3676;0.522077611
3680;3674;0.676793934
3681;3673;0.752158902
3682;3672;0.837829723
3683;3671;0.656900532
3687;3683;0.620873756
3684;3683;0.519484702
3686;3684;0.661654085
3685;3684;0.666705678
3688;3670;0.677924436
3692;3666;0.823345996
3696;3664;0.830917023
3702;3540;0.835825611
3703;3702;0.835825611
3947;3538;0.829288575
3709;3535;0.812216426
3710;3534;0.813168423
3724;3710;0.811225985
3725;3724;0.811225985
3711;3710;0.729134016
3712;3711;0.604933743
3713;3712;0.51
3718;3712;0.51
3717;3713;0.520328849
3714;3713;0.511308051
3716;3714;0.615138045
3715;3714;0.592641377
3719;3711;0.598404496
3720;3719;0.505203252
3721;3720;0.510015649
3722;3720;0.66247891
3723;3719;0.499551597
3734;3530;0.863993955
3735;3529;0.713376911
3762;3526;0.842266944
3775;3523;0.784562693
3776;3522;0.823774237
3804;3776;0.756737437
3777;3776;0.831404959
3796;3777;0.841448161
3803;3796;0.839370079
3797;3796;0.815143008
3800;3797;0.76347032
3801;3800;0.834439834
3802;3800;0.825488507
3798;3797;0.814573851
3799;3798;0.725874126
3778;3777;0.66244161
3779;3778;0.66244161
3795;3779;0.839370079
3780;3779;0.748468729
3794;3780;0.669248036
3781;3780;0.842906418
3792;3781;0.595870715
3793;3792;0.595870715
3782;3781;0.675461041
3791;3782;0.644055944
3783;3782;0.653333333
3784;3783;0.59375325
3785;3784;0.675743559
3786;3785;0.85323741
3787;3786;0.659003328
3788;3785;0.672488881
3789;3784;0.683655665
3790;3783;0.668347789
3806;3520;0.786831276
3520;3519;0.78237743
3807;3519;0.78237743
3815;3807;0.791967871
3808;3807;0.630582837
3814;3808;0.492763778
3809;3808;0.645723548
3813;3809;0.821993127
3810;3809;0.662129563
3812;3810;0.837034378
3811;3810;0.755725047
3816;3518;0.79137699
3817;3517;0.788832385
3821;3514;0.756853163
3823;3512;0.781846154
3834;3823;0.743209877
3824;3823;0.769932639
3833;3824;0.76091954
3825;3824;0.817348928
3826;3825;0.83190815
3827;3826;0.788034188
3832;3827;0.720112137
3828;3827;0.820057199
3829;3828;0.507378139
3831;3829;0.638895017
3830;3829;0.660130719
