WP4,Regime
633,perennial
634,perennial
999,perennial
998,perennial
1000,perennial
1001,intermittent
1002,perennial
1003,perennial
1004,perennial
1108,intermittent
1110,intermittent
1109,intermittent
1005,perennial
1006,perennial
1007,perennial
1008,perennial
1009,perennial
1010,perennial
1011,perennial
1012,intermittent
1013,perennial
1063,perennial
1014,perennial
1015,perennial
1045,perennial
1046,perennial
1047,intermittent
1048,intermittent
1058,perennial
1049,perennial
1050,intermittent
1054,perennial
1051,intermittent
1052,intermittent
1053,perennial
1055,intermittent
1057,intermittent
1056,intermittent
1059,perennial
1060,intermittent
1061,intermittent
1016,perennial
1017,perennial
1036,intermittent
1042,intermittent
1043,intermittent
1041,intermittent
1037,intermittent
1039,intermittent
1040,perennial
1038,perennial
1018,perennial
1035,intermittent
1019,perennial
1030,intermittent
1032,intermittent
1031,intermittent
1034,intermittent
1020,intermittent
1022,intermittent
1021,intermittent
1024,perennial
1023,intermittent
1027,intermittent
1026,intermittent
1029,perennial
1028,intermittent
1044,intermittent
1064,perennial
1065,perennial
1066,perennial
1067,perennial
1080,intermittent
1068,perennial
1069,intermittent
1070,perennial
1071,intermittent
1073,intermittent
1072,intermittent
1074,intermittent
1075,intermittent
1079,perennial
1076,intermittent
1077,intermittent
1078,intermittent
1081,perennial
1085,perennial
1082,perennial
1084,perennial
1083,perennial
1086,perennial
1087,perennial
1088,perennial
1089,perennial
1090,perennial
1092,perennial
1091,perennial
1093,intermittent
1094,intermittent
1095,intermittent
1096,intermittent
1097,intermittent
1098,perennial
1099,intermittent
1100,intermittent
1101,perennial
1102,intermittent
1103,intermittent
1104,perennial
1105,perennial
1106,perennial
1107,perennial
1111,intermittent
1112,perennial
1113,perennial
1115,perennial
1123,intermittent
1127,intermittent
1124,perennial
1126,intermittent
1125,intermittent
1118,intermittent
1116,intermittent
1117,intermittent
1119,perennial
1120,perennial
1121,intermittent
1122,intermittent
1128,perennial
1129,intermittent
1130,perennial
1114,perennial
1131,perennial
1132,perennial
1160,perennial
1133,perennial
1159,perennial
1134,perennial
1135,perennial
1155,perennial
1136,perennial
1137,perennial
1138,perennial
1139,perennial
1151,perennial
1140,perennial
1141,perennial
1142,perennial
1144,perennial
1143,perennial
1145,perennial
1149,perennial
1148,intermittent
1146,intermittent
1147,intermittent
1150,perennial
1152,perennial
1153,perennial
1154,perennial
1156,perennial
1157,perennial
1158,perennial
1161,perennial
635,perennial
636,perennial
637,perennial
638,perennial
639,perennial
640,perennial
984,perennial
641,perennial
981,perennial
642,perennial
980,perennial
643,perennial
644,perennial
978,perennial
645,perennial
646,perennial
968,perennial
648,perennial
647,perennial
963,perennial
965,perennial
967,perennial
964,perennial
966,perennial
649,perennial
916,perennial
917,perennial
918,perennial
922,perennial
920,intermittent
919,intermittent
650,perennial
915,perennial
651,perennial
914,perennial
652,perennial
653,perennial
911,perennial
654,perennial
655,perennial
656,perennial
657,perennial
658,perennial
881,intermittent
659,perennial
660,perennial
661,perennial
662,perennial
663,perennial
664,perennial
665,perennial
666,perennial
667,perennial
860,intermittent
861,intermittent
862,intermittent
668,perennial
669,perennial
670,perennial
671,perennial
672,perennial
673,perennial
674,perennial
675,perennial
783,intermittent
793,intermittent
784,intermittent
790,intermittent
791,intermittent
785,intermittent
789,intermittent
786,perennial
787,perennial
788,perennial
676,perennial
677,perennial
678,perennial
679,perennial
680,perennial
764,perennial
776,intermittent
765,intermittent
766,intermittent
767,intermittent
768,intermittent
769,intermittent
771,intermittent
772,intermittent
774,intermittent
773,intermittent
775,intermittent
681,perennial
682,perennial
758,intermittent
683,perennial
684,perennial
722,perennial
723,perennial
754,intermittent
724,perennial
753,intermittent
726,perennial
751,intermittent
727,perennial
729,perennial
728,perennial
749,intermittent
730,perennial
735,perennial
736,perennial
737,perennial
739,intermittent
738,perennial
740,intermittent
741,intermittent
731,intermittent
732,intermittent
733,intermittent
734,intermittent
742,intermittent
743,intermittent
744,intermittent
745,intermittent
746,intermittent
748,intermittent
750,intermittent
752,intermittent
685,perennial
721,intermittent
686,perennial
687,perennial
705,intermittent
688,perennial
702,intermittent
703,intermittent
704,intermittent
689,perennial
699,intermittent
700,intermittent
701,intermittent
690,perennial
691,intermittent
692,intermittent
693,intermittent
694,intermittent
695,intermittent
697,intermittent
696,intermittent
698,intermittent
706,perennial
720,intermittent
707,intermittent
717,intermittent
719,intermittent
718,intermittent
708,perennial
710,intermittent
712,intermittent
711,intermittent
709,intermittent
713,intermittent
714,intermittent
715,intermittent
756,intermittent
757,intermittent
759,intermittent
760,intermittent
761,intermittent
762,intermittent
763,intermittent
777,intermittent
779,intermittent
780,intermittent
781,intermittent
782,intermittent
806,intermittent
807,perennial
808,perennial
810,perennial
809,perennial
827,intermittent
811,perennial
825,intermittent
824,intermittent
812,perennial
813,intermittent
816,intermittent
814,intermittent
815,intermittent
818,intermittent
817,intermittent
819,intermittent
820,perennial
821,intermittent
822,perennial
823,intermittent
828,intermittent
829,intermittent
830,perennial
831,perennial
854,intermittent
855,intermittent
856,intermittent
857,intermittent
863,intermittent
864,intermittent
865,intermittent
866,intermittent
870,perennial
871,intermittent
872,intermittent
873,intermittent
876,perennial
880,perennial
879,perennial
882,perennial
883,perennial
884,perennial
885,perennial
886,perennial
887,perennial
888,perennial
889,perennial
890,perennial
891,perennial
895,intermittent
892,perennial
894,intermittent
893,intermittent
896,perennial
897,intermittent
898,perennial
899,perennial
900,perennial
901,perennial
902,perennial
903,intermittent
904,intermittent
905,intermittent
906,intermittent
907,perennial
908,perennial
910,perennial
909,perennial
912,perennial
925,perennial
926,perennial
927,perennial
941,perennial
942,perennial
928,perennial
929,intermittent
939,intermittent
930,intermittent
938,intermittent
931,intermittent
932,intermittent
933,intermittent
937,intermittent
935,intermittent
934,intermittent
940,intermittent
943,intermittent
945,intermittent
960,perennial
946,perennial
947,intermittent
953,intermittent
959,intermittent
954,intermittent
958,intermittent
955,intermittent
957,intermittent
956,intermittent
948,intermittent
949,intermittent
951,intermittent
950,intermittent
952,intermittent
961,intermittent
944,intermittent
969,perennial
977,perennial
970,perennial
976,intermittent
971,intermittent
973,intermittent
972,intermittent
974,intermittent
975,intermittent
979,perennial
983,perennial
982,perennial
985,perennial
994,perennial
995,perennial
996,perennial
986,intermittent
992,intermittent
993,intermittent
987,intermittent
989,intermittent
988,intermittent
990,intermittent
991,intermittent
997,perennial
1164,perennial
1162,perennial
1165,perennial
1163,perennial
1166,intermittent
1167,perennial
1168,perennial
778,intermittent
