id,co2
3507,16556.546734049316
3508,38105.70840720548
3509,37328.05962545206
3510,43558.363999945206
3511,48830.38565791781
3512,47491.06627331507
3513,50027.544748958906
3514,32592.237941232877
3515,10786.995136504109
3516,53225.02617024657
3517,48122.482393068494
3518,37430.770969479454
3519,20819.565875972603
3520,568.228449610411
3521,45625.44778030137
3522,36541.77592673973
3523,1319.4863682449316
3524,14823.428014104109
3525,30083.68305838356
3526,11355.56333639452
3527,50723.95866731507
3528,9822.096079852055
3529,14891.344442520547
3530,5445.560829254795
3531,2351.8429274657533
3532,46009.92456350685
3533,8099.789288572602
3534,29867.397450821918
3535,10874.329167180822
3536,22343.63972608219
3537,22898.419081342465
3538,23400.436413591782
3539,23985.04932321096
3540,4595.983621295891
3541,29730.748037241097
3542,8978.519488460273
3543,10018.845517029042
3544,20344.875362268493
3545,1397.6509945252055
3546,17997.12212237808
3547,855.8435040475068
3548,1636.9168744827398
3549,2119.0942003265754
3550,2945.306286090137
3551,4766.0871100279455
3552,6518.182345294246
3553,1254.1630026073972
3554,4506.7998858734245
3555,2601.495019112877
3556,2509.8249816027396
3557,907.340276035137
3558,3443.8820514813974
3559,7035.636883424109
3560,3271.699174748493
3561,4377.543517323287
3562,7098.454062109589
3563,1877.3747097043836
3564,4338.208745504109
3565,12532.186946753425
3566,4542.6249212465755
3567,10080.278017665754
3568,7131.828795046576
3569,5335.629243572603
3570,237.61763624923287
3571,696.1951821832877
3572,862.7100065328767
3573,893.9859574869315
3574,7980.256867346575
3575,1161.6617067569864
3576,1960.4336283276712
3577,1855.7606157119453
3578,2136.753295978356
3579,1995.43822882
3580,804.5082188057535
3581,1406.308896001644
3582,2826.5261891035616
3583,5009.715090334795
3584,3277.802972202192
3585,1771.7846001287671
3586,1935.2123807723287
3587,1459.6858717038356
3588,561.2618449106849
3589,3462.7973663260273
3590,550.5324421580822
3592,819.2647449063014
3593,809.3103122169863
3594,1789.3313960904109
3595,2989.4171645342467
3596,620.3846909092603
3597,1319.1223634334247
3598,1959.1935502246574
3599,1769.886310741644
3600,2159.402330221918
3601,2156.3456431178083
3602,4161.638966425206
3603,1438.8542291320548
3604,1779.1850318843835
3605,1673.5578557780823
3606,2156.070082771507
3607,687.2621244460274
3608,1260.012446670411
3609,780.2417493221918
3610,1226.2421455389042
3611,3483.2528050465753
3612,1699.6936701068494
3613,1013.6612283679452
3614,2956.2630216849316
3615,523.9260782640548
3616,2856.7768690230137
3617,2703.036292928767
3618,2254.000425930959
3619,1096.535021629315
3620,925.6178554824658
3621,1411.8334508964383
3622,1763.6523671323287
3623,7242.770652693918
3624,3185.614810536986
3625,931.8593308071232
3626,1995.2291521188356
3627,1645.3605993126027
3628,758.7698295158904
3629,3765.9932065260273
3630,3502.700552789041
3631,2605.4540609945207
3632,2375.6928169671232
3633,2742.2646421041095
3634,2175.5010048438357
3635,739.9740625876713
3636,5376.677282610959
3637,2735.0065551865755
3638,3058.2924371879453
3639,4775.555704687671
3640,726.0553904090411
3641,7482.100401361918
3642,6093.306221065754
3643,3593.992191630137
3644,339.16705398356163
3645,2264.7016887013697
3646,2374.468763481918
3647,884.010481830411
3648,591.5326297087671
3649,1629.0351391073973
3650,5777.0391812221915
3651,4043.5433039561644
3652,842.605613480548
3653,6864.8886912054795
3654,5569.029595150685
3655,5273.390730167123
3656,1402.6314076076712
3657,2981.9264151561642
3658,6028.118752432877
3659,3363.55099703863
3660,1701.0782273314521
3661,1087.9712396224384
3662,223.68690412942465
3663,17734.413581616438
3664,17848.68728693151
3665,9738.189199841096
3666,4800.116547835616
3667,3749.4061309468493
3668,863.7031831189041
3669,3212.812536887397
3670,6855.109829052055
3671,2756.9521728194522
3672,4931.545561361644
3673,437.42264401876713
3674,7406.402068410959
3675,2106.476410629863
3676,948.0952231475561
3677,4425.852978148493
3678,2221.007494427123
3679,1003.2384793345205
3680,537.9869613983561
3681,1429.6394112161645
3682,1513.4215723624657
3683,922.2208876109589
3684,583.7091614
3685,4975.39947489863
3686,1891.940750589041
3687,3807.98523270137
3688,921.7077736309589
3689,1019.1043209865753
3690,418.51397623041095
3691,696.9218422657534
3692,1473.8508393123288
3693,5496.177485912329
3694,2623.135929140548
3695,578.3304062747945
3696,1736.287944060274
3697,2622.960284906849
3698,3454.601455016438
3699,3408.240128769863
3700,1983.3151079561644
3701,883.350410019452
3702,2950.836645520548
3703,2434.8137262465752
3704,926.7157966967123
3705,3865.789076460274
3706,3207.9580947589043
3707,1924.9599327452054
3708,537.8772828084932
3709,5237.084069309589
3710,7943.092374619178
3711,6924.052834024657
3712,7842.555504484932
3713,259.86504226191784
3714,11271.922388619178
3715,3111.8336393041095
3716,3458.919126843836
3717,3527.756677350685
3718,577.7136594928767
3719,3868.5326760136986
3720,575.7256432720548
3721,1926.2384552465753
3722,1855.8901764958905
3723,928.5776466421918
3724,540.9389758169863
3725,1109.452264498904
3727,1409.643491269589
3728,959.9529925583562
3729,861.6584296049315
3730,2436.6788073671232
3731,3557.2590604109587
3733,1389.6095907676713
3734,2894.2199828767125
3735,1115.4533493854794
3736,5418.243826583562
3737,25403.971328082192
3738,22723.087240164383
3739,20332.247658164382
3740,6605.291763449315
3741,4103.798872652054
3742,8693.900073736986
3743,1831.9271461934247
3744,7345.597682726027
3745,4811.368161334247
3746,1439.68397016
3747,4634.56408539726
3748,2168.020064517534
3749,5451.863209279452
3750,4483.948704372603
3751,2294.095329180822
3752,4202.434643375343
3753,8925.428120539726
3754,8394.236311591781
3755,2741.5938848273972
3756,7214.992290473972
3757,5081.064483030137
3758,952.3283464216438
3759,1134.9144322854795
3760,1807.0822601021919
3761,1400.344913098904
3762,2021.5082713123288
3763,7505.703768082191
3764,19292.649123890413
3765,4922.231011967123
3766,3577.423627452055
3767,2119.8933814657535
3768,3262.5998415890413
3769,873.8169746410958
3770,1768.4239806723288
3771,1649.4130264049315
3772,5808.095014643835
3773,5254.967209479452
3775,3125.2152419863014
3776,30128.645458876712
3777,45268.12313824658
3778,25269.249155972604
3779,29664.875668082193
3780,1725.7823698273974
3781,3338.9503581835615
3782,7261.453367419178
3783,18914.346718876714
3784,13058.316915175343
3785,2905.3421974465755
3786,6161.486518038356
3787,2693.9375024652054
3788,1043.5240206090411
3789,3501.5528054931506
3790,1943.6767128520548
3791,3521.843345843836
3792,6727.313634986302
3793,3367.4491513369862
3794,3578.295788320548
3795,2628.2581617643837
3796,1083.9573957430136
3797,5528.284256038356
3798,9783.42695430411
3799,4427.563217824658
3800,2115.6228456164386
3801,3396.7024106164386
3802,664.2041497553424
3803,1720.2160856136986
3804,756.9557820238356
3805,1087.667729800822
3806,2857.3291379863012
3807,9763.910834665754
3808,15501.809801186302
3809,5417.164068709589
3810,6499.296845906849
3811,4124.563413909589
3812,415.02776003452055
3813,702.4117968482192
3814,1193.9731523627397
3815,745.7731631816439
3816,4635.744036013699
3817,885.6182514712328
3818,1698.0521340164385
3819,11653.047354115068
3820,6717.47440589589
3821,1492.80703491863
3822,1932.6476222972603
3823,31597.728948821918
3824,26528.962557260274
3825,16009.655080824657
3826,14429.562090928766
3827,13581.940682512328
3828,9687.74477899178
3829,7726.705327739726
3830,4766.17715145863
3831,1561.5859952082192
3832,1182.745860130137
3833,2352.99048814137
3834,775.3003323473972
3835,2224.275680717808
3836,5096.665839989041
3837,3927.0617729150686
3838,8870.758527
3839,10466.937873832876
3840,10496.541031235616
3841,8762.01624679726
3842,16804.63222641096
3843,11875.019107945205
3844,9965.967736838356
3845,8964.340513860274
3846,9584.6077486602735
3847,11288.553946556165
3848,12465.873130649315
3849,9995.408142134247
3850,7965.9952519835615
3851,4695.235399263013
3852,762.3182193687671
3853,2195.861113850959
3854,2851.855925071233
3855,6158.545906682191
3856,3394.8528848328765
3857,2781.342030747945
3858,4066.710872408219
3859,4232.85241860274
3860,3685.646998887671
3861,3649.230640569863
3862,2960.2372403150684
3863,628.5032388087672
3864,3104.9304012328766
3865,1449.6516597652055
3866,1874.445543400274
3867,943.976525529589
3868,3910.663190367123
3869,5215.991545167123
3870,8685.336027805479
3871,8741.806980945206
3872,5178.90581130137
3873,3811.942367389041
3874,5906.807010945206
3875,4251.125533358904
3876,4887.349410761643
3877,3576.628713347945
3878,1563.794892630137
3879,926.3492830564384
3880,4027.903090890411
3947,92.67342426438356
